arm,stage,global_step,local_step,loss,lr
quarter,1,50,50,0.994925,5.1e-06
quarter,1,100,100,0.9944059,1.01e-05
quarter,1,150,150,0.9942304,1.51e-05
quarter,1,200,200,0.9941791,2.01e-05
quarter,1,250,250,0.9939104,2.51e-05
quarter,1,300,300,0.993727,3.01e-05
quarter,1,350,350,0.9936129,3.51e-05
quarter,1,400,400,0.9930936,4.01e-05
quarter,1,450,450,0.9927412,4.51e-05
quarter,1,500,500,0.9922919,5e-05
quarter,1,550,550,0.9921227,5.5e-05
quarter,1,600,600,0.9921009,6e-05
quarter,1,650,650,0.9919818,6.5e-05
quarter,1,700,700,0.9917776,7e-05
quarter,1,750,750,0.991759,7.5e-05
quarter,1,800,800,0.9918212,8e-05
quarter,1,850,850,0.9915968,8.5e-05
quarter,1,900,900,0.9919427,9e-05
quarter,1,950,950,0.9916914,9.5e-05
quarter,1,1000,1000,0.991514,0.0001
quarter,1,1050,1050,0.9913613,0.0001
quarter,1,1100,1100,0.9912587,0.0001
quarter,1,1150,1150,0.9915198,0.0001
quarter,1,1200,1200,0.9911763,0.0001
quarter,1,1250,1250,0.9913334,0.0001
quarter,1,1300,1300,0.99142,0.0001
quarter,1,1350,1350,0.9915023,0.0001
quarter,1,1400,1400,0.9910948,0.0001
quarter,1,1450,1450,0.9913157,0.0001
quarter,1,1500,1500,0.9911638,0.0001
quarter,1,1550,1550,0.9913154,0.0001
quarter,1,1600,1600,0.9909713,0.0001
quarter,1,1650,1650,0.9908421,0.0001
quarter,1,1700,1700,0.9907938,0.0001
quarter,1,1750,1750,0.9909717,0.0001
quarter,1,1800,1800,0.9908044,0.0001
quarter,1,1850,1850,0.9907464,0.0001
quarter,1,1900,1900,0.9906416,0.0001
quarter,1,1950,1950,0.9905083,0.0001
quarter,1,2000,2000,0.9905599,0.0001
quarter,1,2050,2050,0.9905764,0.0001
quarter,1,2100,2100,0.990521,0.0001
quarter,1,2150,2150,0.990289,0.0001
quarter,1,2200,2200,0.9906204,0.0001
quarter,1,2250,2250,0.9903563,0.0001
quarter,1,2300,2300,0.9904824,0.0001
quarter,1,2350,2350,0.9904616,0.0001
quarter,1,2400,2400,0.9901997,0.0001
quarter,1,2450,2450,0.9898445,0.0001
quarter,1,2500,2500,0.9903511,0.0001
quarter,1,2550,2550,0.9902636,0.0001
quarter,1,2600,2600,0.9902472,0.0001
