對照組	實驗	Ckpt	Test Caption	CLAP	CE	CU	PC	PQ	n	exp_label	組內最佳
A. Q 條件	Caption 2.0	full	—	0.2149	6.2870	6.7220	5.1393	6.5793	5521	phase8_qwen_caption10s_multisent_noq_full_stage2_200000_musiccaps_mf25_cfg0_noq	PQ
A. Q 條件	slot0 q3	full	q bucket {0,5,9}, q=9	0.2145	6.2474	6.7019	5.1752	6.5437	5521	phase8_qwen_caption2p0_s2q_from_noq_full_k3_balanced_musiccaps_mf25_cfg0_q9	
A. Q 條件	slot0 q5	full	q bucket {0,2,5,7,9}, q=9	0.2174	6.3352	6.7290	5.2118	6.5730	5521	phase8_qwen_caption2p0_s2q_from_noq_full_k5_balanced_musiccaps_mf25_cfg0_q9	CLAP,CE,CU,PC
B. 取槽方式	013 true random	quarter	每 epoch 依 clip_id 重抽	0.2013	6.2505	6.7838	4.9690	6.6079	5521	phase8_qwen_caption2p0_k3_true_random_noq_quarter_musiccaps_mf25_cfg0_noq	CLAP,CE,CU,PQ
B. 取槽方式	013 fake random	quarter	每列固定一槽	0.2005	6.2253	6.7695	5.0934	6.5754	5521	phase8_qwen_caption2p0_k3_fake_random_noq_quarter_musiccaps_mf25_cfg0_noq	PC
C. 選法 best/worst	012 Best-of-3	quarter	slot 0/1/2 取 CLAP 最高	0.2129	6.2368	6.7327	5.1212	6.5316	5521	phase8_qwen_caption2p0_bestof3_noq_quarter_musiccaps_mf25_cfg0_noq	CLAP
C. 選法 best/worst	012 Worst-of-3	quarter	slot 0/1/2 取 CLAP 最低	0.1957	6.4072	6.8399	5.3208	6.6398	5521	phase8_qwen_caption2p0_worstof3_noq_quarter_musiccaps_mf25_cfg0_noq	CE,PC
C. 選法 best/worst	fair013 Best-of-3	quarter	slot 0/1/3 取 CLAP 最高	0.2114	6.2046	6.6693	5.1490	6.4793	5521	phase8_qwen_caption2p0_fair013_bestof3_noq_quarter_musiccaps_mf25_cfg0_noq	
C. 選法 best/worst	fair013 Worst-of-3	quarter	slot 0/1/3 取 CLAP 最低	0.1985	6.4061	6.8835	5.2172	6.6789	5521	phase8_qwen_caption2p0_fair013_worstof3_noq_quarter_musiccaps_mf25_cfg0_noq	CU,PQ
D. 訓練規模	Caption 2.0	quarter	—	0.2029	6.1185	6.7031	5.0350	6.5364	5521	phase8_qwen_caption10s_multisent_noq_quarter_musiccaps_mf25_cfg0_noq	
D. 訓練規模	Caption 2.0	full	—	0.2149	6.2870	6.7220	5.1393	6.5793	5521	phase8_qwen_caption10s_multisent_noq_full_stage2_200000_musiccaps_mf25_cfg0_noq	CLAP
D. 訓練規模	fair013 Worst-of-3	quarter	slot 0/1/3 取 CLAP 最低	0.1985	6.4061	6.8835	5.2172	6.6789	5521	phase8_qwen_caption2p0_fair013_worstof3_noq_quarter_musiccaps_mf25_cfg0_noq	PC
D. 訓練規模	fair013 Worst-of-3	full	slot 0/1/3 取 CLAP 最低	0.2109	6.4162	6.9374	5.1868	6.7195	5521	phase8_qwen_caption2p0_fair013_worstof3_noq_full_musiccaps_mf25_cfg0_noq	CE,CU,PQ
E. slot 取樣	Caption 2.0 (slot0)	quarter	第 0 槽	0.2029	6.1185	6.7031	5.0350	6.5364	5521	phase8_qwen_caption10s_multisent_noq_quarter_musiccaps_mf25_cfg0_noq	
E. slot 取樣	slot1	quarter	第 1 槽	0.2047	6.3008	6.7593	5.1632	6.5668	5521	phase8_qwen_caption2p0_slot1_noq_quarter_musiccaps_mf25_cfg0_noq	CLAP,CE,CU,PC,PQ
E. slot 取樣	slot2	quarter	第 2 槽	0.2017	6.2071	6.7487	5.0814	6.5623	5521	phase8_qwen_caption2p0_slot2_noq_quarter_musiccaps_mf25_cfg0_noq	
F. caption 粒度	slot0 q3	full	per-segment, q=9	0.2145	6.2474	6.7019	5.1752	6.5437	5521	phase8_qwen_caption2p0_s2q_from_noq_full_k3_balanced_musiccaps_mf25_cfg0_q9	CLAP
F. caption 粒度	fulltrack q3	full	整軌一條複製給全 segment, q=9	0.1821	6.8458	7.1468	5.3016	6.9337	5521	phase8_qwen_s2q_from_noq_full_k3_balanced_stage2_200000_musiccaps_mf25_cfg0_q9	CE,CU,PC,PQ
G. caption pool	fair013 q3	quarter	fair013 pool, q=9	0.1966	5.9310	6.4984	5.2635	6.3988	5521	phase8_qwen_caption2p0_fair013_k3_quarter_musiccaps_mf25_cfg0_q9	CLAP,CE,CU,PC,PQ
G. caption pool	Qwen-3cap q3	quarter	qwen3cap pool, q=9	0.1894	5.7757	6.4003	5.0264	6.2127	5521	phase8_qwen_caption2p0_qwen3cap_k3_quarter_musiccaps_mf25_cfg0_q9	
anchor	rmatched S2 (cfg 0.5)	full	rmatched 語料	0.2157	6.2919	6.7281	5.1369	6.5899	5521	rmatched_s1_s2_steps_cfg_matrix_seed14159265_s2_mf25_cfg0p5	
