exp_code	display_name	benchmark	n_clap_aes_peav	n_fad	clap	ce	cu	pc	pq	fad	peav	t2a_R10_pct
P4V4	JamendoFull-BestConsensus-NoQ	jamendo_s42	2048	2048	0.1909	5.862	6.650	4.969	6.506	1.131	0.1242	12.65
P5V1	JamendoHalf-BestConsensus-NoQ-HardFilter	jamendo_s42	2048	2048	0.1861	5.635	6.424	4.991	6.287	2.053	0.1170	11.28
P5V2	JamendoHalf-BestConsensus-NoQ-Random	jamendo_s42	2048	2048	0.1869	5.713	6.495	4.952	6.356	1.777	0.1169	11.18
P6V2	JamendoFull-BestConsensus-MeanSim-Q	jamendo_s42	2048	2048	0.1957	6.165	6.963	5.149	6.823	1.059	0.1279	12.11
P7V1	JamendoFull-Random-MeanSim-Q	jamendo_s42	2048	2048	0.1981	6.251	7.031	4.974	6.930	1.159	0.1283	11.08
P7V2	JamendoFull-CLAPBest-MeanSim-Q	jamendo_s42	2048	2048	0.1920	6.121	6.895	5.081	6.791	1.350	0.1266	11.72
P7V3	JamendoFull-WorstConsensus-MeanSim-Q	jamendo_s42	2048	2048	0.1965	6.266	7.072	5.072	6.982	1.222	0.1274	11.67
P8	JamendoFull-Random-NoQ	jamendo_s42	2048	2048	0.1986	6.124	6.950	5.103	6.755	1.065	0.1305	11.47
P8V2	JamendoFull-Random-AudioboxPQ-Q	jamendo_s42	2048	2048	0.1910	6.125	6.916	4.996	6.856	1.185	0.1251	11.62
P8V3	JamendoFull-Random-CLAP-Q	jamendo_s42	2048	2048	0.1514	5.756	6.701	5.085	6.709	2.526	0.1102	8.15
P4V4	JamendoFull-BestConsensus-NoQ	musiccaps	5521	2048	0.1825	5.458	6.299	4.534	6.233	3.651	0.0482	5.38
P5V1	JamendoHalf-BestConsensus-NoQ-HardFilter	musiccaps	5521	2048	0.1663	5.060	5.991	4.627	5.916	3.703	0.0378	4.73
P5V2	JamendoHalf-BestConsensus-NoQ-Random	musiccaps	5521	2048	0.1616	5.022	5.994	4.526	5.935	3.855	0.0342	4.11
P6V2	JamendoFull-BestConsensus-MeanSim-Q	musiccaps	5521	2048	0.1943	5.917	6.743	4.833	6.619	4.302	0.0498	4.80
P7V1	JamendoFull-Random-MeanSim-Q	musiccaps	5521	2048	0.1975	6.017	6.822	4.758	6.679	4.315	0.0524	5.40
P7V2	JamendoFull-CLAPBest-MeanSim-Q	musiccaps	5521	2048	0.1950	5.871	6.633	4.940	6.528	4.397	0.0519	5.34
P7V3	JamendoFull-WorstConsensus-MeanSim-Q	musiccaps	5521	2048	0.1998	6.121	6.967	4.973	6.833	4.664	0.0505	5.11
P8	JamendoFull-Random-NoQ	musiccaps	5521	2048	0.1851	5.913	6.747	4.983	6.544	4.744	0.0467	4.76
P8V2	JamendoFull-Random-AudioboxPQ-Q	musiccaps	5521	2048	0.1848	5.778	6.581	4.712	6.535	4.884	0.0494	4.73
P8V3	JamendoFull-Random-CLAP-Q	musiccaps	5521	2048	0.1619	5.364	6.395	4.927	6.406	5.545	0.0369	3.59
